0.0,6.211,90.0
-0.002,14.096,90.01
2.804,24.345,60.73
14.359,27.848,0.44
12.558,40.773,173.4
-5.348,42.066,-175.83
-21.249,42.532,176.35
-21.772,13.255,-90.36
-10.427,-4.938,-2.73
24.125,12.441,88.09
25.325,41.27,71.72
-20.401,34.211,17.86
-34.307,53.259,99.49
-33.424,60.469,81.01
-24.217,68.9,8.77
-18.974,69.854,14.03
-15.325,83.048,115.4
1.69,101.042,-12.84
24.96,91.223,-175.84
-11.23,124.396,178.56
-6.985,124.292,178.61
-38.361,125.051,178.63
-41.355,114.769,-86.68
-40.792,105.023,-86.69
-37.827,106.465,-164.04
-50.327,83.985,-167.15
-61.552,94.834,124.38
-66.059,98.911,136.89
-69.777,102.392,136.88
-75.074,106.567,146.69
-94.612,127.76,159.47
-114.199,129.223,178.27
-136.874,120.958,-95.78
-143.451,114.868,-153.31
-150.556,108.56,-136.16
-172.604,89.472,-89.95
-162.529,71.456,-5.74
-107.577,68.578,-6.7
-93.191,75.266,78.66
-93.236,79.232,89.46
-101.105,97.77,87.17
-94.755,127.445,4.99
-94.137,127.209,170.34
-43.98,82.735,97.5
-29.754,87.941,-54.87
-29.755,87.939,-54.87
-10.59,82.272,3.43
17.539,65.06,-150.65
26.335,71.931,-92.97
13.465,36.436,-158.22
-31.474,49.876,104.63
-32.176,55.261,97.36
-32.808,64.288,93.44
-22.843,80.362,18.57
-31.266,94.536,-97.44
-109.983,69.434,-9.83
-102.832,68.647,-3.99
-94.045,68.822,-1.33
-91.473,66.374,48.97
-90.178,66.421,45.58
-67.833,89.433,37.67
