Epoch num52   Step_len: 51   Epoch Reward: -458.8580683532692 Memory index: 5443Success: 0 Time since beginning -2.486373297373454
Epoch num53   Step_len: 201   Epoch Reward: -198.0684145354967 Memory index: 5644Success: 0 Time since beginning -2.5762146592140196
Epoch num54   Step_len: 54   Epoch Reward: -249.04796417636678 Memory index: 5698Success: 0 Time since beginning -2.600720413525899
Epoch num55   Step_len: 184   Epoch Reward: -464.26716171654965 Memory index: 5882Success: 0 Time since beginning -2.6843644261360167
Epoch num56   Step_len: 71   Epoch Reward: -346.15053097583586 Memory index: 5953Success: 0 Time since beginning -2.716520949204763
Epoch num57   Step_len: 46   Epoch Reward: 1062.3097823697672 Memory index: 5999Success: 1 Time since beginning -2.7369648853937787
Epoch num58   Step_len: 57   Epoch Reward: -461.8173103146563 Memory index: 6056Success: 0 Time since beginning -2.763405712445577
Epoch num59   Step_len: 172   Epoch Reward: -234.46567936086853 Memory index: 6228Success: 0 Time since beginning -2.8404853423436482
Epoch num60   Step_len: 45   Epoch Reward: -261.93692757374254 Memory index: 6273Success: 0 Time since beginning -2.8608877142270406
Epoch num61   Step_len: 118   Epoch Reward: -314.03283217218785 Memory index: 6391Success: 0 Time since beginning -2.914679555098216
Epoch num62   Step_len: 13   Epoch Reward: -458.97739510925123 Memory index: 6404Success: 0 Time since beginning -2.9207518617312114
Epoch num63   Step_len: 90   Epoch Reward: -479.5070957503374 Memory index: 6494Success: 0 Time since beginning -2.962548510233561
Epoch num64   Step_len: 120   Epoch Reward: -60.44844884184806 Memory index: 6614Success: 0 Time since beginning -3.0170318404833476
Epoch num65   Step_len: 157   Epoch Reward: -371.8426685696106 Memory index: 6771Success: 0 Time since beginning -3.0893821279207865
Epoch num66   Step_len: 149   Epoch Reward: -297.7862026969471 Memory index: 6920Success: 0 Time since beginning -3.15668629805247
Epoch num67   Step_len: 20   Epoch Reward: -459.3192512222973 Memory index: 6940Success: 0 Time since beginning -3.1659531275431316
Epoch num68   Step_len: 13   Epoch Reward: -508.1325600616612 Memory index: 6953Success: 0 Time since beginning -3.17206707795461
Epoch num69   Step_len: 33   Epoch Reward: -509.6087237853909 Memory index: 6986Success: 0 Time since beginning -3.1873727281888327
Epoch num70   Step_len: 100   Epoch Reward: -454.5942508368157 Memory index: 7086Success: 0 Time since beginning -3.233748944600423
Epoch num71   Step_len: 96   Epoch Reward: -392.10100776024126 Memory index: 7182Success: 0 Time since beginning -3.2779727458953856
Epoch num72   Step_len: 39   Epoch Reward: -459.0874999393278 Memory index: 7221Success: 0 Time since beginning -3.2957645575205485
Epoch num73   Step_len: 90   Epoch Reward: -494.39400301498074 Memory index: 7311Success: 0 Time since beginning -3.3374874154726664
Epoch num74   Step_len: 81   Epoch Reward: -504.14318698684605 Memory index: 7392Success: 0 Time since beginning -3.375538901487986
Epoch num75   Step_len: 54   Epoch Reward: -454.5469252606359 Memory index: 7446Success: 0 Time since beginning -3.3999866366386415
Epoch num76   Step_len: 1   Epoch Reward: -450.6648545304455 Memory index: 7447Success: 0 Time since beginning -3.400653914610545
Epoch num77   Step_len: 56   Epoch Reward: -452.4660511679973 Memory index: 7503Success: 0 Time since beginning -3.426435887813568
Epoch num78   Step_len: 149   Epoch Reward: -498.2765318012638 Memory index: 7652Success: 0 Time since beginning -3.4957833011945088
Epoch num79   Step_len: 37   Epoch Reward: -263.14559006231866 Memory index: 7689Success: 0 Time since beginning -3.5129990855852764
Epoch num80   Step_len: 27   Epoch Reward: 1007.1335636189978 Memory index: 7716Success: 1 Time since beginning -3.525568918387095
Epoch num81   Step_len: 159   Epoch Reward: -258.510967770785 Memory index: 7875Success: 0 Time since beginning -3.597284956773122
Epoch num82   Step_len: 35   Epoch Reward: -459.28213458049737 Memory index: 7910Success: 0 Time since beginning -3.6133164962132773
Epoch num83   Step_len: 47   Epoch Reward: -452.6770277112979 Memory index: 7957Success: 0 Time since beginning -3.6343698024749758
Epoch num84   Step_len: 66   Epoch Reward: -468.8030361032538 Memory index: 8023Success: 0 Time since beginning -3.6651991486549376
Epoch num85   Step_len: 39   Epoch Reward: -506.80187998397884 Memory index: 8062Success: 0 Time since beginning -3.6834492007891337
Epoch num86   Step_len: 52   Epoch Reward: -453.44764439989933 Memory index: 8114Success: 0 Time since beginning -3.7079554001490274
Epoch num87   Step_len: 122   Epoch Reward: -428.8357348647114 Memory index: 8236Success: 0 Time since beginning -3.7645826737085977
Epoch num88   Step_len: 33   Epoch Reward: -437.87614871803135 Memory index: 8269Success: 0 Time since beginning -3.7797717253367105
Epoch num89   Step_len: 29   Epoch Reward: -404.61925673638575 Memory index: 8298Success: 0 Time since beginning -3.793101167678833
Epoch num90   Step_len: 78   Epoch Reward: -365.5644782511819 Memory index: 8376Success: 0 Time since beginning -3.828917642434438
Epoch num91   Step_len: 77   Epoch Reward: -425.50058361374727 Memory index: 8453Success: 0 Time since beginning -3.86528480052948
Epoch num92   Step_len: 40   Epoch Reward: -513.6883122095601 Memory index: 8493Success: 0 Time since beginning -3.8843361020088194
Epoch num93   Step_len: 77   Epoch Reward: -479.6079348144064 Memory index: 8570Success: 0 Time since beginning -3.9208367268244424
Epoch num94   Step_len: 45   Epoch Reward: -255.75492537566524 Memory index: 8615Success: 0 Time since beginning -3.942048195997874
Epoch num95   Step_len: 41   Epoch Reward: -457.6357190181564 Memory index: 8656Success: 0 Time since beginning -3.9610324263572694
Epoch num96   Step_len: 44   Epoch Reward: -509.92480101551166 Memory index: 8700Success: 0 Time since beginning -3.9816518704096477
Epoch num97   Step_len: 9   Epoch Reward: -506.73810936829966 Memory index: 8709Success: 0 Time since beginning -3.986164669195811
Epoch num98   Step_len: 24   Epoch Reward: -514.8532526689052 Memory index: 8733Success: 0 Time since beginning -3.9976168235143024
Epoch num99   Step_len: 57   Epoch Reward: -447.23229054085573 Memory index: 8790Success: 0 Time since beginning -4.023115440209707
Epoch num100   Step_len: 63   Epoch Reward: -335.89133610380816 Memory index: 8853Success: 0 Time since beginning -4.052067255973816
Epoch num101   Step_len: 54   Epoch Reward: -503.8505060224044 Memory index: 8907Success: 0 Time since beginning -4.076790130138397
Epoch num102   Step_len: 132   Epoch Reward: -327.03672215054644 Memory index: 9039Success: 0 Time since beginning -4.135238222281138
Epoch num103   Step_len: 28   Epoch Reward: -462.4348593036818 Memory index: 9067Success: 0 Time since beginning -4.148583976427714
Epoch num104   Step_len: 79   Epoch Reward: -388.14131038903685 Memory index: 9146Success: 0 Time since beginning -4.1858689745267235
Epoch num105   Step_len: 17   Epoch Reward: -410.06468471941525 Memory index: 9163Success: 0 Time since beginning -4.19398498137792
Epoch num106   Step_len: 128   Epoch Reward: -472.97985104892973 Memory index: 9291Success: 0 Time since beginning -4.253732681274414
Epoch num107   Step_len: 56   Epoch Reward: 1055.2339832913478 Memory index: 9347Success: 1 Time since beginning -4.279582150777181
Epoch num108   Step_len: 128   Epoch Reward: 1250.6582608183658 Memory index: 9475Success: 1 Time since beginning -4.339287805557251
Epoch num109   Step_len: 87   Epoch Reward: -475.7171214402155 Memory index: 9562Success: 0 Time since beginning -4.379284091790518
Epoch num110   Step_len: 33   Epoch Reward: -381.94748846297944 Memory index: 9595Success: 0 Time since beginning -4.394832376639048
Epoch num111   Step_len: 1   Epoch Reward: -448.57009828766127 Memory index: 9596Success: 0 Time since beginning -4.395399395624796
Epoch num112   Step_len: 115   Epoch Reward: -509.68002528865725 Memory index: 9711Success: 0 Time since beginning -4.449216814835866
Epoch num113   Step_len: 27   Epoch Reward: -462.90185995307263 Memory index: 9738Success: 0 Time since beginning -4.4618545571962995
Epoch num114   Step_len: 115   Epoch Reward: -457.248694656464 Memory index: 9853Success: 0 Time since beginning -4.515664466222128
Epoch num115   Step_len: 31   Epoch Reward: -512.7298913358454 Memory index: 9884Success: 0 Time since beginning -4.53021197716395
Epoch num116   Step_len: 17   Epoch Reward: -458.7261664087519 Memory index: 9901Success: 0 Time since beginning -4.538552920023601
Epoch num117   Step_len: 104   Epoch Reward: -469.18637439533217 Memory index: 10005Success: 0 Time since beginning -4.586032517751058
Epoch num118   Step_len: 209   Epoch Reward: 50.72497602142221 Memory index: 10214Success: 0 Time since beginning -4.6812330683072405
Epoch num119   Step_len: 50   Epoch Reward: -459.6457801096162 Memory index: 10264Success: 0 Time since beginning -4.704532225926717
Epoch num120   Step_len: 77   Epoch Reward: -507.7289582625656 Memory index: 10341Success: 0 Time since beginning -4.739832576115926
